###########################################################################
#Copyright 1999 The Internet Dictionary Project/Tyler Chambers
#http://www.june29.com/IDP/
#This file is free to use and modify.  Thank you for using the IDP.
#
#Approximately 5048 entries.  9/21/97
#Approximately 5488 entries.  1/7/98
#Approximately 5910 entries.  3/8/98
#Approximately 7450 entries.  2/19/99
###########################################################################
a	un, uno, una[Article]
scheduled departure	fahrplanmäßige Abfahrt
scheduled flight	fahrplanmäßige Flucht
scheduled stop	fahrplanmäßige Halt
scheduled train	fahrplanmäßige Zug
scheduled trip	fahrplanmäßige Reise
school	derSchule[Noun]
science	Wissenschaf (f)t
scissors	Schere (pl)
Scorpio	Skorpion (m)
scotch whiskey	Scotch (m)
scotch whiskey	Whisky (m)
Scotland	Schottland
scrambled	klettete
scrambled	verschlüsselt
screen	Bildschirm (m)
screen	Leinwand (f)
screen	Raster (m)
screen	Schirm (m)
screen	tarnen
screw	Schraube (f)
screw	schrauben
screwdriver	Schraubendreher (m)
screwdriver	Schraubenzieher (m)
scuba	Unterwassersauerstoffapparat (m)
scuba gear	Unterseeatmenapparat (m)
scuba tank	Unterseeatmentank (m)
sculptor	Bildhauer (m)
sculpture	Bildhauerei (f)
sculpture	meisseln
sculpture	Skulptur (f)
sea	Meer (n)
sea	See (f)
sea bass	Seebaß (m)
seal	Abdichtung (f)
seal	Blechverschluß (m)
seal	Dichtung (f)
seal	Seehund (m)
seal	siegeln
sealing tape	Siegelband (n)
search	absuchen
search	durchsuchen
search	Durchsucht (f)
search	Suche (f)
search	suchen
searching for	suchend für
seashell	Muschelschale (f)
seaside	Seeküste (f)
seat	einpassen
seat	Platz (m)
seat	Sitz (m)
seat	Sitzplatz (m)
seat assignment	Sitzanweisung (f)
seat belt	Sicherheitsgurt (m)
seat number	Platznummer (f)
second	Sekunde (f)
second	zweit
second	zweit-
second	Zweite (m)
second	Zweiter (m)
second	zwot-
second-class	zweitklassig
secure	sicher
secure	sichern
securities	Wertpapieren[Noun]
see	anzeigen
see	ersehen
see	schauen
see	sehe
see	sehen
see	siehe
see	sieht
see you tomorrow	begegnen Morgen
seek	suhen[Verb]
select	ausgesucht
select	aussuchen
select	auswahl
select	auswählen
select	wählen
selected	ausgewählt
selected	auswahl
selected	gewählt
selection	Auslese (f)
selection	Auswahl (f)
selection	Wahl (f)
self	selbst
self-employed	freischaffend
self-service	Selbstbedienung
sell	umsetzen
sell	verkaufen
send	übersenden
send	schicken
send	schickt
send	senden
send	zusenden
sender	Absender (m)
sender	Zeichengeber (m)
sending	schickend
sending	Sendung (f)
sent	gesandt
sent	gesendet
sentence	Satz (m)
sentence	Urteil (n)
sentence	verurteilen
sentence	Verurteilung (f)
September	September
serial number	Seriellnummer (f)
serial port	Seriellluke (f)
serious	ernst
serious	ernsthaft
serious	grob wichtig
serum	Serum (n)
service	Bedienung (f)
service	Dienst (m)
service	Gottesdienst (m)
service	Service (n)
servicing	dienlich
servicing	servierend
servicing	Wartung (f)
serving	aufschlagend
serving	Portion (f)
serving	servierend
serving	zustellend
serving spoon	Portionslöffel (m)
session	Sitzung (f)
set	ansetzen
set	einstellen
set	Satz (m)
set	Set (n)
set	Setze (f)
set	setzen
set up	aufbauen
set up	Gliederung (f)
set up	herrichten
setting	Einstellung (f)
setting	Justierung (f)
setting	setzend
settle up	abrechnen
seven	sieben
seven hundred	siebenhundert
seventeen	siebzehn
seventh	siebent
seventh	siebent-
seventh	siebente
seventh	siebt-
seventy	siebzig
seventy one	einundsiebzig
several	einige
several	etliche
several	mehrere
several	mehrere einzelne
sew	nähe
sew	nähen
sew	vernähen
sewing	Nähe (f)
sewing	vernähend
sex	Geschlecht (n)
sex	Sex (m)
sextet	Sechsbiteinheit (f)
sextet	Sextett (n)
sexual	geschlechtlich
sexual	sexually
sexual	sexuell
shade	Farbton (m)
shade	schattieren
shade	Schattierung (f)
shade	schraffieren
shade tree	Schattenbaum (m)
shampoo	haarewaschen
shampoo	Schampoon (n)
shampoo	schampunieren
shampoo	waschen
shape	Form (f)
shape	formen
shape	Gestalt (f)
shape	gestalten
shaped	formte
shave	rasieren
shave	Rasur (f)
shave	sich rasieren
shaving cream	Rasierkrem (f)
she	Sie
sheep	Schaf (n)
sheer	bloß
sheer	lauter
sheer	schier
shelf	Bord (n)
shelf	Einlegeboden (m)
shelf	Regal (n)
shellfire	Granatenbeschuß[Noun]
shellfish	Muschel[Noun]
shin	Schienbein (n)
ship	Schiff (n)
ship	schiffen
ship	senden
ship	verladen
ship	versenden
shipment	Ladung (f)
shipment	Sendung (f)
shipment	Verschiffung (f)
shipped	verschiffte
shipping	Versendung (f)
shipping charges	Versendungkosten (pl)
shirt	Hemd (n)
shit	scheiss (m)[Noun]
shit	scheisse (f)[Noun]
shock	erschu.ttern[Verb]
shock	schlag (m)[Noun]
shoe	Hufeisen (horseshoe)[Noun]
shoe	Schuh (m)
shoehorn	schuhanzieher
shoehorn	Schuhlo.ffel (m)[Noun]
shoelace	schnu.rsenkel (m)[Noun]
shoemaker	schuhmacher[Noun]
shoemaker	Schuster (m)[Noun]
shoes	Schuhe (pl)
shoeshine	Schuhglanz (m)
shoot	erschießen
shoot	schießen
shoot	schiessen
shoot	Schößling (m)
shoot	Sprößling (m)
shop	Geschäft (n)
shop	Laden (m)
shop	Werkstatt (f)
shopkeeper	Ladenbesitzer (m)
shopkeeper	Ladeninhaber (m)
shopping	Einkauf (m)
shopping	Einkaufen (n)
shopping	einkaufend
shopping area	Einkaufgebiet (n)
shopping bag	Einkauftasche (f)
shopping center	Einkaufszentrum (n)
short	kurz
should	sollte
shoulder	Achsel (f)
shoulder	Schulter (f)
shoulder	schultern
shoulder	tragen
shove	schieben
shove	Schubs (m)
shove	Stoß (m)
show	ausstellen
show	betätigen
show	Schau (f)
show	vorführen
show	Vorführung (f)
show lace	Schauspitze (f)
show me where	zeigen mir woher
shower bath	Dusche (f)
shower curtain	Duschevorhang (m)
showers	begießt
showers	Duschen (pl)
shrimp	Garnele (f)
Siberia	Sibirien
sick	elend
sick	krank
sick	unwohl überdrüssig
side	Rand (m)
side	Seite (f)
sideburns	Kotteletten (pl)
sidekick	Beistand (m)
sidewalk	Bürgersteig (m)
sights	Sehenswürdigkeiten (pl)
sights	Visierungen (pl)
sightseeing	Sehenswürdigkeiten (pl)
sign	Schild (n)
sign	unterschreiben
sign	Zeichen (n)
sign of the zodiac	Tierkreiszeichen (n)
signature	Signatur (n)
signature	Unterschrift (f)
silk	Seide (f)
silo	Silo (m)
silver	Silber (n)
silver	silbern
silver	versilbern
silver plate	Silbergeschirr (n)
silverware	Silberware (f)
silverware	Silberwaren (pl)
simple	Einfach
simple	einfältig
simple	schlicht
since	da
since	seit
since	seitdem
since	seitdem weil insofern
since	weil
sincerely	aufrichtig
sing	singen
singing	singend
single	Einfach
single	einzel
single	einzeln
single	einzelne
single	einzelner
single	einzig
single	ledig
single serving	einzele Portion (f)
sink	Ausguß (m)
sink	senken
sink	sinken
sink	Spühlbecken (n)
sir	Herr (m)
sir	mein Herr
sister	Schwester (pl)
sisterhood	Schwesternschaft (f)
sitting	sitzend
sitting	Sitzung (f)
situation	Lage (f)
situation	Situation (f)
six	sechs
six hundred	sechshundert
sixteen	sechszehn
sixteen	sechzehn
sixth	sechst-
sixth	sechste
sixty	sechszig
sixty	sechzig
sixty one	einundsechzig
ski	Schi (m)
ski	schilaufen
ski bindings	Skibindungen (pl)
ski poles	Skipfosten (pl)
skiing	ski laufend
skirt	herumgehen
skirt	Rock (m)
sky	Himmel (m)
slang	Jargon (m)
slang	Slang (m)
slang	Umgangssprache (f)
sled	Schlitten (m)
sleep	Schlaf (m)
sleep	schlafen
sleeping	schlafend
sleepy	müde
sleepy	schläfrig
slid	glitt
slid	glitt ab
slide	Dia (n)
slide	gleiten
slide	rutschen
slide film	Diapositiv (n)
slides	gleitet
slides	schiebt
slippery surface	Straßenglätte
slow	langsam
slow	träge
slower	langsamer
slowest	langsamste
sludge	Schlamm[Noun]
slum	Elendsviertel (n)
slum	Slum (m)
small	geringere
small	klein
smaller	kleiner
smoked	geräuchert
smoking	Rauchen (n)
smoking car	Rauchenwagen (m)
smoking section	Rauchenteil (m)
snack	Imbiß (m)
snack	Imbuß (m)
snack	Stärkung (f)
snack bar	Imbißstube (f)
snack bar	Imbusstube (f)
snacks	Schnellimbisse (pl)
snake	Schlange (f)
sneakers	Turnschuhe (pl)
snob	Snob (m)
snore	schnarchen
snow	Schnee (m)
snow	schneien
snowshoes	Schneeschuhe (pl)
soccer	Fußball (m)
socialist	Sozialist (m)
socks	Prügel (pl)
socks	schlagt
socks	Socken (pl)
soda	Soda (f)
soda water	Sodawasser (n)
sofa	Sofa (n)
soft	leise
soft	sacht
soft	weich
soft	weichlich
soft drink	alkoholfreie Getränk (n)
soft shoulder (road)	Seitenstreifen nicht befahrbar
software	Software (f)
sold out	ausverkauft
sole	alleinig
sole	besohlen
sole	einzig
sole	seezunge
sole	sohle
some	einige
some	einige manche
some	manche
some coins	manchen Münzen (pl)
some more	mehr
somehow	irgendwie
something	etwas
something	irgendetwas
sometimes	manchmal
somewhere	irgendwo
somewhere	irgendwohin
son	Sohn (m)
soon	bald
soon	bald sowie rasch
soon	demnächst
soon	gleich
soon	nächstens
soon	sobald
sooner	eher
soprano	Sopran (m)
sore	weh
sore	wund
sore	Wunde (f)
sore throat	Halsschmerzen (m)
sore throat	Halsweh (m)
sorry	bedauernd
sorry	bedaure
sorry	leidtun
sorry	traurig
sorry	verzeihung
sound	dröhnen
sound	einwandfrei
sound	gehörig
sound	Geräusch (n)
sound	Gesund (m)
sound	klingen
soup	Suppe (f)
sour	sauer
south	süd
south	Süden (m)
South America	Sud Amerika
South American	Sud Amerikaner
South American	sud Amerikanisch
southeast	Südosten (m)
southeast	südöstlich
southwest	südwest
southwest	Südwesten (m)
southwest	südwestlich
souvenir	Andenken (n)
souvenir	Reiseandenken (n)
souvenir shop	Andenkenladen (m)
space	Abstand (m)
space	leerstelle
space	leerzeichen
space	Raum (m)
space	Zwischenraum (m)
spain	Spanien
spain	spanische
Spanish	spanisch
speak louder please	sprechen Sie lauter, bitte
special	besonder-
special	eilbote
special	sonder
special	spezial
specialty	Besonderheit (f)
speech	Anrede (f)
speech	Rede (f)
speech	Sprache (f)
speed limit	Geschwindigkeitgrenze (f)
speeding	Geschwindigkeitsüberschreitung (f)
spell	Bann (m)
spell	buchstabieren
spell	richtig schreiben
spell	Zauber (m)
spell-check	zauberprüfen
spinach	Spinat (m)
spine	Rückgrat (n)
spine	Wirbelsäule (f)
spirit	Geist (m)
spirit	Gemüt (n)
spirit	Seele (f)
splinter	Splitter (m)
splinter	splittern
sponge	schmarotzen
sponge	Schwamm (m)
spoon	Löffel (m)
sports	Sport (pl)
sports coat	Jacke (f)
sprain	Verstauchung (f)
spray	Gischt (f)
spray	sprühen
spray	Spritze (f)
spray	spritzen
spray bottle	Gischtflasche (f)
spray can	Gischtbüchse (f)
spread	Aufstrich (m)
spread	ausbreiten
spread	Spannweite (f)
spread	streichen
spread	Verbreitung (f)
spread sheet	Verbreitungsblatt (n)
spring	Feder (f)
spring	Frühjahr (n)
spring	Frühling (m)
spring	springen
spring	Sprung (m)
square	Platz (m)
square	quadrat-
square	Quadrat (n)
square	viereckig
square	Winkel (m)
squash	Saft (f)
squash	zerquetschen
squeeze	drücken
squeeze	hineinzwängen
squeeze	quetschen
squeezed	komprimiere
squeezed	quetschte
squid	Tintenfisch (m)
squid	tintinfische[Noun]
stage	Bühne (f)
stage	Etappe (f)
stage	inszenieren
stage	Stadium (n)
stage	Stufe (f)
stainless steel	Rostfreistahl (m)
stairs	Treppen (pl)
stamp	abstempeln
stamp	Briefmarke (f)
stamp	Gepräge (f)
stamp	prägen
stamp	stampfen
stamped	frankiert
stand	andauern
stand	ausstehen
stand	Bude (f)
stand	Gestell (n)
stand	leiden
stand	stehen
standby	Reserve (f)
standing room	Stehplätze (pl)
staple	Hauptzeugnis (n)
staple	Heftklamme (f)
staple	klammern
staple	Krampe (f)
stapler	Heftklammer (m)
starch	Stärke (f)
starch	stärken
starch	Wäschestärke (f)
start	starten
state	angeben
state	Staat (m)
state	Verfassung (f)
state	vorbringen
state	Zustand (m)
stated	festgesetzt
stated	festgesetzt spezifiziert
stated	sagte aus
statement	Angabe (f)
statement	Anweisung (f)
statement	Ausführung (f)
statement	Aussage (f)
statue	Statue (f)
stay	bleiben[Verb]
stay in lane	einordnen
steak	Filet (n)
steak	Steak (n)
steamed	gedämpft
steer	führen
steer	lenken
steer	steuern
steer	stier
stencil	Matritze (f)
step	abstufen
step	Schritt (m)
step	Staffel (m)
step	Stufe (f)
step	treten
step	Tritt (m)
steppe	Steppe (f)
sterling silver	Silber von Standardwert (n)
steward	Steward (m)
stewardess	Stewardeß (f)
stewed	gedämpft
stick out your tongue	stecken Sie die Zunge raus
still	dennoch
still	immernoch
still	noch
still	still
stitch	heften
stitch	Masche (f)
stitch	Nähe (f)
stitch	steppen
stitch	Stich (m)
stock broker	Bösenmakler (m)
stock market	Bösenmarkt (m)
stockings	Seidenstrümpfen (pl)
stockings	Strümpfe (pl)
stocks	Bestände (pl)
stodgy	schwerfällig
stomach	Magen (m)
stomach ache	Magenschmerzen (f)
stomach gas	Magengas (n)
stone	Stein (m)
stool	Hocker (m)
stool	Stuhlgang (m)
stop	anhalten
stop	aufhalten
stop	aufhören
stop	einhalten
stop	halt
stop	Halt (m)
store	ablegen
store	Geschäft (n)
store	lagern
store	Magazin (n)
storm	stu.rm[Adjective]
storm	Stu.rm[Noun]
story	Erzählung (f)
story	Etage (f)
story	Geschichte (f)
story	Schwank (m)
story	Stockwerk (n)
stove	Herd (m)
stove	Ofen (m)
straight	direkt gerade
straight	gerade
straight	pur
straight	rein
straight	unverfälscht
strain	anspannen
strain	Anspannung (f)
strain	Belastung (f)
strain	dehnen
strain	Dehnung (f)
strained	spannte an
strange	seltsam
strawberry	Erdbeere (f)
stream	strömen
stream	Strom (m)
street	Straße (f)
streetcar	Straßenbahn (f)
streetcar	Straßenbahnwagen (m)
stringy	klebrig
strong	dauerhaft
strong	kräftig
strong	stark
student	Schüler (m)
student	Student (m)
study	Studium
studying	hakk
stuffed	stopfte
stupid	blöde
stupid	borniert
stupid	dumm
stupid	duselig
stupid	stumpf
stutter	stotterer
stutterer	stottern
sty	Schweinestall (m)
subject	Satzgegenstand (m)
subject	Subjekt (n)
subject	Thema (n)
submarine	Unterseebo.ote; U-bo.ote[Noun]
submariner	Unterseebo.otemann[Noun]
submariners	Unterseebo.otetruppen[Noun]
submarines	Unterseebo.oten[Noun]
subscribe	abonnieren
subscribe	unterzeichnen
subscribe	vertrag unterzeichnen
suburb	Vorort (m)
suburb	Vorstadt (f)
suburban	vorstädtisch
subway	U-Bahn (f)
subway	Unterführung (f)
subway	Untergrundbahn (f)
successful	erfolgreich
suede	Wildleder (n)
sugar	Zucker (m)
sugar cane	Zucherrohr (n)
sugary	zucker
suit	anpassen
suit	Anzug (m)
suit	Farbe (f)
suitcase	Handkoffer (m)
suitcase	Koffer (m)
suite	Reihe (f)
sulfa	Sulfa (n)
summer	Sommer (m)
sun	Sonne (f)
sun umbrella	Sonnenschirm (m)
sunburn	Sonnenbrand (m)
Sunday	Sonntag (m)
sunglasses	Sonnenbrille (f)
sunny	sonnig
sunrise	Sonnenaufgang (m)
sunset	Sonnenuntergang (m)
super	über-
super	prima
super	super-
supermarket	Supermarkt (m)
supper	Abendessen (n)
suppositories	Zäpfchen (pl)
surf	Brandung (f)
surf	Wellenreiten (m)
surfboard	Wellenreiterbrett (n)
surfer	Wellenreiter (m)
Susan	Susan
suture	zunähen
sweater	Pullover (m)
sweet	süß
sweetly	süß
swimming	schwimmend
switch	rangieren
switch	schalten
switch	Schalter (m)
switch	umschalten
switch	Weiche (f)
synagogue	Synagoge (f)
synonym	sinnverwandtes Wort (n)
synonym	Synonym (n)
system	Anlage (n)
system	System (n)
tabac	Tabak, der[Noun]
tabernacle	Tabernakel, das[Noun]
table	Tisch
table	der Tisch[Noun]
table	Tabelle (f)
table	Tafel (f)
table	Tisch (m)
table cloth	Tischtuch (n)
table wine	Tischwein (m)
tableau	Tablett
tablecloth	Tischtuch (n)
tablecloths	Tischtuecher[Noun]
tables	die Tische[Noun]
tables	tische
tablet	die Tablette[Noun]
tabletop	Tischplatte, die[Noun]
tablets	die Tabletten[Noun]
tableware	Tischgeschirr (n)
tabloid	Boulevardzeitung, die[Noun]
taboo	Tabu, das[Noun]
tail	beschatten
tail	folgen
tail	Schwanz (m)
tail	Schweif (m)
take	bringen
take	dauern
take	einnehmen
take	einschlagen
take	nehmen
take off	abrechnen
take time	hetzen Sie nicht
take time to smell the roses	haben Zeit die Rosen zu riechen
take-off	Nachahmung (f)
take-off	starten
takeoff	abfliegen[Verb]
tale	Ma.rchen[Noun]
talk about	reden
talk incessantly	ständig sprechen
talked to	redete auf
tall	groß
tall	gross
tall	lang
tall building	hoche Bau (m)
tampon	Tampon (m)
tan	Bräune (f)
tan	bräunen
tan	gelbbraun
tan	gerben
tank	Panzerkampfwagen[Noun]
tank	Panzer[Noun]
tanker	Panzermann; Panzertruppe[Noun]
tankers	Panzertruppen[Noun]
tanks	Panzers[Noun]
tap	abzapfen
tap	Hahn (m)
tap	Wasserhahn (m)
tap	zapfen
tap	Zapfhahn (m)
tape	Band (n)
tape	Tonband (n)
tape	Zwirnband (n)
tape recorder	Tonbandgerät (n)
target_language	German
Taurus	Stier (m)
tavern	Bierlokal (n)
tavern	Kneipe (f)
tavern	Schenke (f)
tavern	Taverne (f)
tavern	Wirtschaft (f)
tax	bestreuen
tax	strapazieren
tax	Streue (f)
tax burden	Steuerbürde (f)
taxation	Besteuerung (f)
taxi	Taxi (n)
taxi driver	Taxifahrer (m)
taxi fare	Taxifahrpreis (m)
taxi meter	Taximeter (m)
taxi stand	Taxigestell (n)
tea	Tee (m)
tea cozy	Teewärmer (m)
tea pot	Teekanne (f)
tea room	Teeraum (n)
tea time	Teezeit (f)
teach	lehren[Verb]
teacher	Lehrer (m)
teacher	Lehrerin (f)
teachers	Lehrer[pl.][Noun]
teardrop	Träne, die[Noun]
tearful	tränenreich[Adjective]
tears	Tränen[pl.][Noun]
teaspoon	Teelöffel, der[Noun]
technology	Technik (f)
technology	Technologie (f)
teeth	Zähne (pl)
teetotaler	Antialkoholiker (m)
telegram	Telegramm (n)
telephone	Fernsprecher (m)
telephone	Telefon (n)
telephone	telefonieren
telephone booth	Fersprechzeller (m)
telephone directory	Telefonbuch (n)
telephone kiosk	Telefonhäuschen (n)
telephone number	Telefonnummer (f)
telephone operator	Telephonfräwlein (f)
television	Fernsehen (n)
television news	Fernsehennachrichten (pl)
television program	Fernsehenprogramm (n)
telex	Telex (n)
tell me how	erzählen Sie mir wie
tell me when	erzählen Sie mir wann
tell me where	erzählen Sie mir woher
tell me why	erzählen Sie mir warum
temperate	gemäßigt
temperate	mässig
temperature	Fieber (n)
temperature	Temperatur (f)
ten	zehn
ten thousand	zehntausend
tennis	Tennis (n)
tennis court	Tennisplatz (m)
tennis racket	Tennisschläger (m)
tennis shoes	Tennisschuhe (pl)
tenor	Grundhaltung (f)
tenor	Tenor (m)
tenth	zehnt-
tenth	zehnte
tepid	lauwarm
terrible	furchtbar
terrible	schrecklich
terrycloth	Spüllappen (m)
test	abfragen
thank you	danke
thanks	bedankt
thanks	dank
thanks	Danke (pl)
thanks for the trouble	besten Dank fu.r Ihre Mu.he
that is all	das ist alles
that is it	daß ist es
that is not a problem	keine Problem
that is not mine	das gehört mir nicht
that is one way to say it	daß ist ein Weg es zu sagen
that is ten DM please	das macht zehn Mark bitte
that is too expensive for me	das ist mir zu teuer
that will be all	das ist alles
that's all	das ist alles
the	das
the	dem
the	den
the	der
the	des
the	die
the day before yesterday	Vorgestern (m)
theater	Schauplatz (m)
theater	Theater (n)
their	Ihr
their	Ihre
them	ihnen
them	Sie
then	da
then	damals
then	dann
there	da
there	dahin
there	dort
there	dorthin
there is something wrong with the (...)	es gibt etwas falsch mit (der) (...)
thereabouts	so ungefähr
these	diese
these	dieser
they	man
they	Sie
thief	Dieb (m)
thigh	Schenkel (m)
think about	denken darum
thinking about	dekend darum
third	dritt-
third	dritte
third	dritter
thirteen	dreizehn
thirty	dreißig
thirty	dreissig
thirty one	einunddreißig
this (...) is dirty	diese (...) ist schmutzig
this is (...)	dies ist (...)
this is a	dies ist ein (...)
this is broken	dies ist gebrochen
this is damaged	dies ist beschädigte
this is for you	dies ist für Ihn
this is my (...)	dies ist mein (...)
this is my first time in (...)	dies ist meine erste Zeit in (...)
this is not mine	dies ist nicht mein
this is the only room vacant	dies ist das einzige freie Zimmer
this is wrong	dies ist falsch
this is your seat	hier ist Ihr Platz
this seat is taken	dieser Platz ist besetzt
this way please	hier entlang bitte
thoroughfare	Durchfahrt (f)
thoroughfare	Verkehrsstraße (f)
those	jene
those	jener
thought about	dachte darum
three	drei
throat	Gurgel (f)
throat	Hals (m)
throat	Kehle (f)
through traffic	Durchgangsverkehr (m)
thumb	abgreifen
thumb	Daumen (m)
thunder and lightning	Donner und Blitzen
thunder storm	Gewitter (n)
Thursday	Donnerstag (m)
thus	also
ticket	Billett (n)
ticket	der Zettel, das Etikett
ticket	die Fahrkarte, der Fahrschein
ticket	Eintrittskarte (f)
ticket	Fahrkarte (f)
ticket	Wahlliste (f)
ticket agent	Fahrkartenvertreter (m)
ticket clerk	Fahrkartenschreiber (m)
ticket office	Fahrkartenschalter (m)
tidy	aufräumen
tidy	ordentlich
tie	binden
tie	Bindung (f)
tie	knüpfen
tie	Punktgleichheit (f)
tie	Schlips (m)
tie up loose ends	fesseln die losen Ende
tied	verschnürte
tiger	Tiger (m)
tight	fest
tight	knapp
tight	straff
tight	stramm
tile	Dachziegel (m)
tile	decken
tile	Fliese (f)
time	Zeit (f)
time	zeitlich
time	Zeitpunkt (n)
timely	rechtzeitig
timely	zeitgemäß
tip	Scutthalde (f)
tip	Spitze (f)
tip	Trinkgeld (n)
tip	Wink (m)
tip	Zipfel (m)
tired	müde
tires	ermüdet
tissue	Gewebe (n)
title	Überschrift (f)
title	Titel (m)
to	an
to	auf
to	bei
to	nach
to	zu
to the	zum
to the right	rechts
toast	rösten
toast	Toast (m)
toast	Trinkspruch (m)
toasted	toastete
tobacco	Tabak (m)
tobacco shop	Tabakhändler (m)
today	heute
toddler	kleines Kind (n)
toe	Spitze (f)
toe	Zehe (f)
toenail	Zehennagel (m)
toes	Zehen (pl)
toilet	Toilette (f)
toilet bowl	Toilettenschale (f)
toilet paper	Toilettenpapier (n)
toilet tank	Toilettentank (m)
toilets	Toiletten[Noun]
token	Markierung (f)
token	Zeichen (n)
tomato	Tomate (f)
tomato soup	Tomatensuppe (f)
tomatoes	Tomaten (pl)
tomorrow	Morgen (n)
ton	tonne (f)
tongue	Zunge (f)
tonic	stärkend
tonic	Stärkungsmittel (n)
tonnage	Tonnage (f)
too	auch
too much	zuviel
tool	Gerät (n)
tool	Werkzeug (n)
tool kit	Werkzeug (n)
tooth	Zahn (m)
tooth ache	Zahnschmerzen (pl)
toothbrush	Zahnbürste (f)
toothpaste	Zahnpasta (f)
toothpick	Zahnstocher (m)
topaz	Topas (m)
topic	Inhalt (m)
topic	Thema (n)
tough	rabauke
tough	widerstandsfähig
tough	zäh
tour bus	Reiseautobus (m)
tour guide	Reisehandbuch (n)
tourist	Tourist (m)
tourist	Touristin (f)
tourist guide	Reiseführer (m)
tourist-class ticket	touristklasse Fahrkarte (f)
tow	schleppen
towel	Handtuch (n)
towels	Handtücher (pl)
town	Kleinstadt (f)
town	Stadt (f)
townhouse	Stadthaus (n)
track	Spur, die[Noun]
tractor	Schlepper (m)
tractor	Traktor (m)
tractor	Trecker (m)
tractor	Zugmaschine (f)
trade	Geschäft (n)
trade	Gewerbe (f)
trade	Handel (m)
trade	handeln
trade	Markt (m)
trademark	Handelsmarke (f)
trademark	Schutzmarke (f)
trademark	Warenzeichen (n)
tradeoff	Zielkonflikt[Noun]
traffic	Verkehr (m)
traffic light	Verkehrsampel (m)
traffic light	Verkehrslicht (n)
traffic lights	Verkehrsampeln
trailer park	Wohnwagenpark (m)
train	anlernen
train	Eisenbahnzug (m)
train	Schweif (m)
train	trainieren
train	Zug (m)
train station	Bahnhof (m)
train track	Bahngleis (n)
transfer	hinüberbringen
transfer	transferieren
transfer	umsteigen
transformer	Transformator (m)
transformer	Umformer (m)
translate	übersetzen
translate	übertragen
translate	verdolmetschen
translating dictionary	übersetzende Wörterbuch (n)
translation	Übersetzung (f)
translation	Übertragung (f)
translator	Übersetzer (m)
transmission	Übertragung (f)
transmission	Kraftübertragung (f)
transmission	Sendung (f)
transmit	übermitteln
transmit	übersenden
transmit	übertragen
transmit	senden
trash	Abfall (m)
trash	Ausschuß (m)
trash	Plunder (m)
travel	Fahre (f)
travel	Reise (f)
travel	reisen
traveler	Reisende (m)
traveler's check	Reisendescheck (m)
traveler's checks	Reisendeschecke (pl)
travelogue	Reisebericht (m)
tray	Ablage (f)
tray	Ablagekasten (m)
tray	Platte (f)
tray	Tablett (n)
tray table	Tablett (n)
tree	Baum (m)
tree	der Baum[Noun]
trespassers will be prosecuted	unbefugten ist das Betreten verboten
trial	Gerichtsverhandlung (f)
trial	Probe (f)
trial	Prozeß (m)
trial	Versuch (m)
tribe	Abstammung (f)
tribe	Sippe (f)
tribe	Stamm (m)
tribe	Volksstamm (m)
tribulation	Drangsal (f)
tribulation	Trübsal (f)
trick	Kniff (m)
trick	Kunstgriff (m)
trick	Pfiff (m)
trick	Schlich (m)
trick	Trick (m)
tricky	heikel
tricky	knifflig
tricky	kompliziert
tricky	trickreich
tricky	verzwickt
tripod	Dreifuß (m)
triumph	Exultation (f)
triumph	Triumph (m)
triumph	triumphieren
trivial	alltäglich
trivial	belanglos
tropic	tropisch
tropic	Wendekreis (m)
tropical	tropisch
trout	Forelle (f)
truck	Lastauto (m)
truck	Lastkraftwagen (m)
truck	Lastwagen (m)
true	echt
true	genau wirklich wahr
true	richtig
true	treu
true	wahr
true	wahrhaftig
trumpet	Trompete (f)
trunk	Koffer (m)
trunk	Rüssel (m)
trunk	Rumpf (m)
trunk	Stamm (m)
trust	Vertrauen, Treuhand
try	versuchen, probieren[Verb]
tryout	ausprobieren[Verb]
tsar	Zar
t-shirt	T-shirt (n)
tsunami	Springflut[Noun]
tuba	Tuba - Blasinstrument[Noun]
tube	Roehre[Noun]
tuberculosis	Tuberkulose (f)
Tuesday	Dienstag (m)
tulip	Tulpe (f)
tuna	Thunfisch (m)
tundra	Tundra (f)
tunnel	Tunnel (m)
turbot	Steinbutt (m)
Turkey	Puter (m)
Turkey	Türkei (f)
Turkey	Truthahn (m)
turnip	weisse Rübe (f)
turquoise	Türkis (m)
TV	TV
tweezers	Pinzette (pl)
twelve	zwölf
twenty	zwanzig
twenty one	einundzwanzig
twice	doppelt
twice	zweimal
twine	Zwirn (m)
twine	zwirnen
two	beiden
two	zwei
two hundred	zweihundert
two thousand	zweitausend
type	Art (f)
type	schreiben
type	Schriftsatz (m)
type	Setze (f)
type	tippen
type	Typ (m)
typesetting	schriftsetzend
typewriter	Schreibmaschine (f)
typing paper	Schreibepapier (n)
ubiquitous	allgegenwaertig[Adjective]
uglier	ha.sslicher[Adjective]
ugliest	am ha.sslichsten[Noun]
ugliness	Ha.sslichkeit[Noun]
ugly	haesslich[Adjective]
ugly	häßlich
ukulele	Ukulele[Noun]
ulcer	Geschwu.r[Noun]
ulcerate	eitern[Adjective]
ulcerated	vereitert[Adjective]
ulcerates	eitert[Verb]
ulceration	Eiterung, Vereiterung[Noun]
ulcerations	Eiterungen[Noun]
ulcerative	eiternd
ulcers	Geschwu.re
ullage	Leckage, Flu.ssigkeitsschwund[Noun]
